@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
321,'2020/01/11 17:27:47:172',15,258.398438,0.576581,6.346585,1
322,'2020/01/11 17:27:57:906',16,129.199219,1.513653,8.668987,2
323,'2020/01/11 17:27:57:940',16,172.265625,1.087497,6.144701,2
324,'2020/01/11 17:27:58:623',16,301.464844,1.363144,8.118426,2
325,'2020/01/11 17:27:59:322',16,172.265625,1.222416,8.534761,2
326,'2020/01/11 17:28:00:039',16,301.464844,0.924874,6.535118,2
327,'2020/01/11 17:28:00:739',16,172.265625,1.096204,7.290993,2
328,'2020/01/11 17:28:01:422',16,215.332031,1.576969,9.317427,2
329,'2020/01/11 17:28:02:139',16,258.398438,0.856203,5.338741,2
330,'2020/01/11 17:28:02:790',16,129.199219,1.232539,9.143512,2
331,'2020/01/11 17:28:03:439',16,129.199219,1.042219,9.097937,2
332,'2020/01/11 17:28:04:106',16,129.199219,1.004153,8.474602,2
333,'2020/01/11 17:28:04:773',16,129.199219,0.708924,6.371511,2
334,'2020/01/11 17:28:05:406',16,172.265625,1.328108,8.957549,2
335,'2020/01/11 17:28:06:056',16,129.199219,0.968148,7.810468,2
336,'2020/01/11 17:28:06:739',16,172.265625,1.224436,7.589691,2
337,'2020/01/11 17:28:07:406',16,129.199219,1.396127,8.703547,2
338,'2020/01/11 17:28:08:089',16,172.265625,1.00155,6.600677,2
339,'2020/01/11 17:28:08:739',16,172.265625,1.593697,9.349977,2
340,'2020/01/11 17:28:09:406',16,172.265625,1.068082,6.913437,2
341,'2020/01/11 17:28:25:106',17,645.996094,1.789916,7.324311,3
342,'2020/01/11 17:28:25:856',17,430.664063,1.733568,6.673858,3
343,'2020/01/11 17:28:26:657',17,387.597656,2.568619,9.779184,3
344,'2020/01/11 17:28:27:456',17,387.597656,1.41415,6.010614,3
345,'2020/01/11 17:28:28:223',17,430.664063,1.861763,6.890879,3
346,'2020/01/11 17:28:28:940',17,387.597656,2.404378,9.824936,3
347,'2020/01/11 17:28:29:673',17,645.996094,2.46837,8.758693,3
348,'2020/01/11 17:28:30:423',17,430.664063,2.330832,9.312412,3
349,'2020/01/11 17:28:31:190',17,430.664063,2.333611,8.748172,3
350,'2020/01/11 17:28:31:940',17,689.0625,2.447265,8.654523,3
351,'2020/01/11 17:28:32:691',17,732.128906,1.897663,8.313882,3
352,'2020/01/11 17:28:33:423',17,387.597656,1.262702,5.462744,3
353,'2020/01/11 17:28:34:157',17,516.796875,2.417141,7.289153,3
354,'2020/01/11 17:28:34:907',17,387.597656,1.38915,6.276109,3
355,'2020/01/11 17:28:35:707',17,430.664063,1.386884,5.168906,3
356,'2020/01/11 17:28:36:390',17,387.597656,2.217531,8.342949,3
357,'2020/01/11 17:28:37:124',17,258.398438,1.157662,6.05118,3
358,'2020/01/11 17:28:37:807',17,387.597656,1.908615,8.779764,3
384,'2020/01/11 17:29:04:824',18,1765.722656,0.752755,6.353308,4
383,'2020/01/11 17:29:03:757',18,1550.390625,0.746128,7.366219,4
382,'2020/01/11 17:29:03:691',18,1550.390625,0.674342,6.85165,4
381,'2020/01/11 17:29:02:574',18,1636.523438,0.600421,4.082087,4
380,'2020/01/11 17:29:01:508',18,1636.523438,0.480608,3.688792,4
379,'2020/01/11 17:28:59:991',18,1636.523438,0.877147,7.797144,4
378,'2020/01/11 17:28:59:924',18,1550.390625,0.901704,7.288051,4
377,'2020/01/11 17:28:59:891',18,1550.390625,1.005511,8.489849,4
376,'2020/01/11 17:28:59:840',18,1550.390625,1.121175,8.853717,4
375,'2020/01/11 17:28:58:758',18,1722.65625,1.35863,9.104881,4
374,'2020/01/11 17:28:57:524',18,1679.589844,1.371421,8.920657,4
373,'2020/01/11 17:28:55:224',18,1464.257813,0.825838,6.131578,4
372,'2020/01/11 17:28:53:991',18,1507.324219,0.864215,5.231523,4
371,'2020/01/11 17:28:53:907',18,1378.125,0.808187,8.415442,4
370,'2020/01/11 17:28:52:124',18,1722.65625,1.118568,6.055596,4
369,'2020/01/11 17:28:52:090',18,1421.191406,0.650166,6.134548,4
368,'2020/01/11 17:28:51:107',18,1593.457031,0.638049,4.030102,4
367,'2020/01/11 17:28:50:957',18,1335.058594,0.77384,7.120531,4
366,'2020/01/11 17:28:50:925',18,1291.992188,1.012391,9.097621,4
365,'2020/01/11 17:28:50:124',18,1722.65625,1.143492,8.35574,4
364,'2020/01/11 17:28:49:208',18,1636.523438,0.512423,5.008641,4
363,'2020/01/11 17:28:47:640',18,1507.324219,0.637657,5.757211,4
362,'2020/01/11 17:28:47:540',18,1335.058594,0.931648,8.132225,4
361,'2020/01/11 17:28:46:424',18,1421.191406,0.664022,6.349662,4
360,'2020/01/11 17:28:45:540',18,1636.523438,0.654622,6.064205,4
359,'2020/01/11 17:28:45:407',18,1335.058594,1.058906,9.226265,4
385,'2020/01/13 08:24:24:373',19,258.398438,0.184716,6.199886,1
386,'2020/01/13 08:24:24:773',19,215.332031,0.316567,5.221562,1
387,'2020/01/13 08:24:25:140',19,301.464844,0.710166,5.847257,1
388,'2020/01/13 08:24:25:507',19,215.332031,0.389882,5.145397,1
389,'2020/01/13 08:24:26:923',19,258.398438,0.745117,6.165793,1
390,'2020/01/13 08:24:27:607',19,172.265625,0.653422,6.553679,1
391,'2020/01/13 08:24:28:357',19,301.464844,0.599392,8.501698,1
392,'2020/01/13 08:24:28:990',19,301.464844,0.766253,9.616491,1
